,date,open,high,low,close,adjclose,volume,ticker,dailychange
0,2020-07-20,96.4175033569336,98.5,96.0625,98.35749816894531,96.56755828857422,90318000,AAPL,1.0
1,2020-07-21,99.17250061035156,99.25,96.74250030517578,97.0,95.2347640991211,103433200,AAPL,0.9861983255550727
2,2020-07-22,96.69249725341797,97.9749984741211,96.60250091552734,97.27249908447266,95.50231170654297,89001600,AAPL,1.0028092689120893
3,2020-07-23,96.99749755859375,97.07749938964844,92.01000213623047,92.84500122070312,91.15538024902344,197004400,AAPL,0.9544835600458395
4,2020-07-24,90.98750305175781,92.97000122070312,89.1449966430664,92.61499786376953,90.92955780029297,185438800,AAPL,0.9975227168516391
5,2020-07-27,93.70999908447266,94.90499877929688,93.4800033569336,94.80999755859375,93.0846176147461,121214000,AAPL,1.0237002617875446
6,2020-07-28,94.36750030517578,94.55000305175781,93.24749755859375,93.25250244140625,91.55547332763672,103625600,AAPL,0.9835724590518532
7,2020-07-29,93.75,95.2300033569336,93.7125015258789,95.04000091552734,93.31043243408203,90329200,AAPL,1.019168370041804
8,2020-07-30,94.1875,96.29750061035156,93.76750183105469,96.19000244140625,94.43949890136719,158130000,AAPL,1.0121001842887296
9,2020-07-31,102.88500213623047,106.41500091552734,100.82499694824219,106.26000213623047,104.32625579833984,374336800,AAPL,1.1046886312427149
10,2020-08-03,108.19999694824219,111.63749694824219,107.89250183105469,108.9375,106.95501708984375,308151200,AAPL,1.0251976078481237
11,2020-08-04,109.13249969482422,110.79000091552734,108.38749694824219,109.66500091552734,107.6692886352539,173071600,AAPL,1.0066781495401247
12,2020-08-05,109.37750244140625,110.39250183105469,108.89749908447266,110.0625,108.05953979492188,121776800,AAPL,1.003624666768378
13,2020-08-06,110.40499877929688,114.4124984741211,109.79750061035156,113.90249633789062,111.82966613769531,202428800,AAPL,1.0348892341886713
14,2020-08-07,113.20500183105469,113.67500305175781,110.2925033569336,111.11250305175781,109.2871322631836,198045600,AAPL,0.9755054245882696
15,2020-08-10,112.5999984741211,113.7750015258789,110.0,112.72750091552734,110.87560272216797,212403600,AAPL,1.014534798689732
16,2020-08-11,111.97000122070312,112.48249816894531,109.10749816894531,109.375,107.57817077636719,187902400,AAPL,0.9702601327244933
17,2020-08-12,110.49749755859375,113.2750015258789,110.29750061035156,113.01000213623047,111.15345764160156,165598000,AAPL,1.0332343052455357
18,2020-08-13,114.43000030517578,116.0425033569336,113.92749786376953,115.01000213623047,113.12062072753906,210082000,AAPL,1.0176975485549418
19,2020-08-14,114.83000183105469,115.0,113.04499816894531,114.90750122070312,113.01979064941406,165565200,AAPL,0.9991087652062998
20,2020-08-17,116.0625,116.0875015258789,113.9625015258789,114.60749816894531,112.7247085571289,119561600,AAPL,0.9973891778293777
21,2020-08-18,114.35250091552734,116.0,114.00749969482422,115.5625,113.66402435302734,105633600,AAPL,1.00833280410368
22,2020-08-19,115.98249816894531,117.1624984741211,115.61000061035156,115.7074966430664,113.80665588378906,145538000,AAPL,1.001254703239082
23,2020-08-20,115.75,118.39250183105469,115.73249816894531,118.2750015258789,116.33194732666016,126907200,AAPL,1.0221896156887114
24,2020-08-21,119.26249694824219,124.86750030517578,119.25,124.37000274658203,122.32683563232422,338054800,AAPL,1.0515324552278236
25,2020-08-24,128.69749450683594,128.78500366210938,123.9375,125.85749816894531,123.7898941040039,345937600,AAPL,1.0119602427395151
26,2020-08-25,124.69750213623047,125.18000030517578,123.05249786376953,124.82499694824219,122.77434539794922,211495600,AAPL,0.9917962677176599
27,2020-08-26,126.18000030517578,126.99250030517578,125.0824966430664,126.52249908447266,124.4439697265625,163022400,AAPL,1.0135990561003925
28,2020-08-27,127.14250183105469,127.48500061035156,123.8324966430664,125.01000213623047,122.95633697509766,155552400,AAPL,0.9880456285705171
29,2020-08-28,126.01249694824219,126.44249725341797,124.57749938964844,124.80750274658203,122.75714874267578,187630000,AAPL,0.9983801344997357
30,2020-08-31,127.58000183105469,131.0,126.0,129.0399932861328,126.92010498046875,225702700,AAPL,1.033912148279617
31,2020-09-01,132.75999450683594,134.8000030517578,130.52999877929688,134.17999267578125,131.97567749023438,151948100,AAPL,1.0398326073859212
